Vertexes |                Greed      GreedSortedDesc       GreedSortedAsc            GreedLEnd                  BBC           GreedLocal             BBCLocal                Brute
     371 |                32463                32393                32421                31957                34367                32023
     372 |                32631                32540                32767                32252                34661                32114
     373 |                32920                32714                32890                32416                34682                32256
     374 |                32986                32984                33084                32551                35077                32383
     375 |                33285                33325                33207                32895                35065                32627
     376 |                33593                33346                33418                32902                35280                32829
     377 |                33556                33654                33712                33140                35606                33026
     378 |                33789                33767                33667                33203                35651                33041
     379 |                34160                33874                33840                33668                36038                33354
     380 |                34070                34118                34200                33547                36142                33534
     381 |                34423                34327                34347                33917                36257                33651
     382 |                34513                34454                34541                33987                36576                33859
     383 |                34676                34686                34610                34264                36766                34174
     384 |                34880                34904                34722                34219                36940                34213
     385 |                35023                34969                34975                34585                37011                34457
     386 |                35189                35238                35308                34690                37257                34567
     387 |                35571                35411                35367                35069                37645                34761
     388 |                35686                35612                35627                35101                37566                34985
     389 |                35722                35864                35940                35246                37920                35120
     390 |                35835                36031                35945                35475                37938                35325
     391 |                36003                36303                36195                35579                38387                35629
     392 |                36327                36335                36416                35796                38363                35752
     393 |                36456                36528                36566                35984                38596                35902
     394 |                36619                36706                36825                36257                38826                36064
     395 |                36985                36991                36951                36591                38907                36273
     396 |                37248                37194                37243                36616                39255                36450
     397 |                37233                37293                37279                36771                39647                36615
     398 |                37451                37350                37655                36947                39804                36752
     399 |                37785                37669                37775                37181                40037                37027
     400 |                37852                37795                37959                37284                40147                37208
     401 |                38150                38062                38042                37628                40380                37446
     402 |                38395                38288                38331                37775                40544                37539
     403 |                38418                38396                38568                37896                40616                37866
     404 |                38573                38606                38730                37995                40917                38061
     405 |                38829                38637                38765                38317                41125                38073
     406 |                39239                38964                39037                38554                41407                38336
     407 |                39313                39241                39207                38819                41709                38615
     408 |                39395                39410                39452                38826                41814                38735
     409 |                39437                39717                39555                39099                41903                38949
     410 |                39815                39805                39831                39193                41786                39185
     411 |                39903                40135                40031                39457                42303                39175
     412 |                40295                39977                40142                39630                42472                39618
     413 |                40347                40357                40485                39905                42737                39719
     414 |                40592                40539                40579                40007                43052                39954
     415 |                40904                40788                40708                40298                43322                40154
     416 |                41040                40912                41005                40407                43423                40280
     417 |                41100                41146                41322                40762                43630                40500
     418 |                41594                41402                41509                40737                43896                40796
     419 |                41607                41591                41559                41017                44055                40875
     420 |                41854                41888                41745                41228                44130                41173
     421 |                42009                42127                42025                41453                44351
     422 |                42329                42256                42199                41706                44677
     423 |                42404                42258                42360                41916                44888
     424 |                42577                42600                42709                42117                44795
     425 |                42756                42694                42742                42272                45176
     426 |                43013                43002                42979                42410                45304
     427 |                43202                43130                43318                42760                45784
     428 |                43460                43363                43361                42706                46040
     429 |                43691                43727                43659                43149                46157
     430 |                43819                43870                43969                43143                46457
     431 |                44095                44133                44199                43551                46629
     432 |                44256                44297                44306                43669                46858
     433 |                44607                44321                44627                43909                46869
     434 |                44781                44735                44714                44081                47146
     435 |                44915                44789                44969                44329                47411
     436 |                45037                45268                45115                44443                47753
     437 |                45307                45389                45315                44705                47945
     438 |                45457                45391                45623                44972                48181
     439 |                45758                45720                45746                45226                48466
     440 |                45878                46055                46000                45341                48769
     441 |                46166                46116                46178                45608
     442 |                46229                46298                46487                45792
     443 |                46527                46669                46495                46017
     444 |                46661                46815                46764                46075
     445 |                47091                47157                47027                46457
     446 |                47356                47224                47341                46763
     447 |                47461                47337                47399                46681
     448 |                47750                47645                47673                47041
     449 |                47935                47887                47969                47345
     450 |                47943                48030                48260                47321
     451 |                48224                48382                48250                47590
     452 |                48523                48448                48655                47943
     453 |                48715                48699                48777                48071
     454 |                49002                49064                48998                48236
     455 |                49299                49189                49231                48577
     456 |                49366                49378                49488                48810
     457 |                49560                49644                49734                49064
     458 |                49868                50000                49914                49043
     459 |                50137                49939                49971                49457
     460 |                50196                49963                50453                49514
     461 |                50392                50468                50382                49784
     462 |                50741                50900                50632                49987
     463 |                50961                51073                51089                50445
     464 |                51382                51161                51214                50681
     465 |                51426                51456                51504                50778
     466 |                51636                51756                51682                50909
     467 |                51969                51713                52039                51281
     468 |                52095                52045                52122                51380
     469 |                52404                52362                52246                51586
     470 |                52537                52678                52603                51788
     471 |                52750                52552                52866                52184
     472 |                53111                52971                53069                52234
     473 |                53187                53309                53339                52461
     474 |                53451                53492                53384                52800
     475 |                53584                53822                53678                52856
     476 |                53880                54037                53949                53311
     477 |                54237                54143                54277                53537
     478 |                54327                54267                54427                53677
     479 |                54613                54745                54621                53861
     480 |                54900                54668                54813                53989
     481 |                55157                54907                55165                54509
     482 |                55429                55302                55440                54729
     483 |                55544                55572                55486                54652
     484 |                55752                55641                55927                55047
     485 |                55764                56134                55998                55198
     486 |                56175                56231                56318                55512
     487 |                56558                56484                56672                55582
     488 |                56716                56785                56772                55941
     489 |                57151                56809                56945                56253
     490 |                57321                57026                57287                56411
     491 |                57535                57405                57423                56701
     492 |                57702                57513                57758                56883
     493 |                57870                57912                57856                57116
     494 |                58102                58197                58151                57403
     495 |                58525                58367                58525                57703
     496 |                58650                58458                58448                57898
     497 |                58911                58813                58653                57969
     498 |                58865                59158                58937                58092
     499 |                59211                59407                59357                58741
     500 |                59443                59570                59650                58709
     501 |                59830                59586                59686                59048
     502 |                59922                60037                59966                59140
     503 |                60064                60428                60228                59414
     504 |                60638                60430                60684                59945
     505 |                60796                60986                60550                60132
     506 |                60999                61033                60787                60175
     507 |                61159                61243                61103                60573
     508 |                61363                61563                61636                60789
     509 |                61830                61688                61834                61086
     510 |                62001                61996                61962                61170
     511 |                62174                62134                62232                61484
     512 |                62423                62422                62604                61416
     513 |                62926                62716                62770                62034
     514 |                62942                62944                62985                62145
     515 |                63333                62987                63199                62631
     516 |                63482                63564                63413                62840
     517 |                63664                63752                63608                62956
     518 |                64103                64000                63942                63191
     519 |                64059                64391                64187                63333
     520 |                64654                64497                64666                63812
     521 |                64597                64641                64623                64099
     522 |                64980                65116                64852                64134
     523 |                65333                65257                65457                64629
     524 |                65443                65430                65505                64606
     525 |                65523                65747                65813                64973
     526 |                66083                65998                66007                65404
     527 |                66265                66191                66231                65673
     528 |                66427                66615                66674                65530
     529 |                66844                66814                66806                66060
     530 |                67099                66993                67109                66041
     531 |                67329                67137                67279                66457
     532 |                67570                67539                67433                66707
     533 |                68003                67535                67741                67111
     534 |                67796                67988                67911                67105
     535 |                68346                68434                68206                67428
     536 |                68523                68427                68597                67771
     537 |                68759                68975                68853                67829
     538 |                69296                69082                69229                68452
     539 |                69383                69225                69459                68675
     540 |                69715                69711                69655                68674
     541 |                69707                69895                69871                68869
     542 |                70175                70031                70237                69244
     543 |                70244                70264                70488                69716
     544 |                70515                70695                70688                69870
     545 |                71016                71022                70952                70338
     546 |                71237                71150                71233                70400
     547 |                71462                71440                71476                70558
     548 |                71850                71703                71733                70868
     549 |                71975                71995                71869                71267
     550 |                72087                72091                71937                71263
     551 |                72406                72460                72522                71596
     552 |                72952                72601                73074                71727
     553 |                73142                73088                73146                72168
     554 |                73345                73205                73331                72664
     555 |                73447                73451                73509                72597
     556 |                73811                73687                73855                73077
     557 |                74105                74227                74013                73199
     558 |                74314                74337                74537                73455
     559 |                74695                74691                74335                73839
     560 |                74801                75058                74989                74011
     561 |                75270                75208                75240                74432
     562 |                75486                75390                75655                74511
     563 |                75788                75912                75726                75010
     564 |                75992                76109                76089                75095
